List.Year,Date.Recorded,Town,Assessed.Value,Sale.Amount,Sales.Ratio,Property.Type,County,Longitude,Latitude
2015,10/19/2015,Newtown,150200.0,270000.0,0.556296296,Single Family,Fairfield,-73.293743,41.3908417
2014,04/09/2015,Seymour,183680.0,160000.0,1.148,Single Family,New Haven,-73.1117056,41.3726909
2009,08/25/2010,Woodbury,111850.0,145000.0,0.77137931,Condo,Litchfield,-73.229455,41.512612
2012,05/31/2013,Stratford,127120.0,187900.0,0.676530069,Single Family,Fairfield,-73.1414721,41.19135
2019,09/23/2020,Waterbury,55870.0,88000.0,0.6349,Condo,New Haven,-73.0867245,41.5543611
2014,04/01/2015,Stafford,103740.0,144900.0,0.715942029,Single Family,Tolland,-72.3122196,41.9756449
2015,12/04/2015,Waterford,236540.0,355000.0,0.666309859,Single Family,New London,-72.176612,41.3524699
2006,06/05/2007,West Haven,132370.0,188000.0,0.704095745,Single Family,New Haven,-72.9660565,41.2547219
2016,12/16/2016,Torrington,74930.0,111000.0,0.675045045,Condo,Litchfield,-73.1060463,41.8734394
2006,05/31/2007,Norwich,129000.0,194800.0,0.662217659,Condo,New London,-72.1028605,41.5468027
2009,07/01/2010,Stafford,166320.0,175000.0,0.9504,Single Family,Tolland,-72.2806277,41.9974351
2016,12/08/2016,Durham,213430.0,320000.0,0.66696875,Single Family,Middlesex,-72.6894181,41.4440405
2013,09/30/2014,Stratford,179760.0,156000.0,1.152307692,Single Family,Fairfield,-73.1316806,41.2123108
2010,11/09/2010,Torrington,121680.0,190000.0,0.640421053,Single Family,Litchfield,-73.1002213,41.810323
2017,01/22/2018,Watertown,115500.0,150000.0,0.77,Single Family,Litchfield,-73.0724631,41.5930454
2020,12/03/2020,Norwalk,341240.0,465000.0,0.7338,Residential,Fairfield,-73.4471862,41.1088797
2017,04/05/2018,Madison,328100.0,445000.0,0.7373,Single Family,New Haven,-72.5932866,41.2941212
2007,05/05/2008,East Hartford,176580.0,236000.0,0.748220339,Two Family,Hartford,-72.6202447,41.7857017
2012,08/30/2013,Milford,179970.0,252500.0,0.712752475,Single Family,New Haven,-73.0409082,41.228329
2006,04/30/2007,Stratford,208670.0,469000.0,0.444925373,Single Family,Fairfield,-73.1183177,41.2550254
2006,10/10/2006,Stratford,202090.0,317000.0,0.637507886,Single Family,Fairfield,-73.135168,41.2197585
2015,04/12/2016,Simsbury,407740.0,490000.0,0.832122449,Single Family,Hartford,-72.8046721,41.885358
2009,07/01/2010,Oxford,208340.0,280000.0,0.744071429,Single Family,New Haven,-73.1511642,41.4515911
2010,11/12/2010,Shelton,202090.0,548900.0,0.368172709,Condo,Fairfield,-73.0977354,41.3081202
2012,06/19/2013,Windsor,140420.0,137900.0,1.018274112,Single Family,Hartford,-72.665354,41.8112539
2017,02/26/2018,Southington,92320.0,163900.0,0.5632,Condo,Hartford,-72.8583905,41.6010265
2007,02/28/2008,Scotland,96980.0,150000.0,0.646533333,Single Family,Windham,-72.1128488,41.7172965
2020,03/09/2021,Waterford,88560.0,159500.0,0.55523511,Residential,New London,-72.1363483,41.3411681
2006,11/22/2006,Bridgeport,103025.0,212000.0,0.485966981,Condo,Fairfield,-73.2220581,41.2193324
2006,02/23/2007,Bristol,40000.0,93000.0,0.430107527,Condo,Hartford,-72.9038543,41.658129
2013,06/17/2014,Brookfield,221640.0,350000.0,0.633257143,Single Family,Fairfield,-73.3670704,41.4491255
2013,08/11/2014,Hartford,126844.0,410000.0,0.30937561,Single Family,Hartford,-72.7095545,41.7771661
2009,12/29/2009,Norwich,110000.0,127500.0,0.862745098,Single Family,New London,-72.0895667,41.5092476
2010,11/18/2010,Bridgeport,139700.0,134900.0,1.035581913,Single Family,Fairfield,-73.2163359,41.2037032
2010,07/25/2011,Monroe,289940.0,412500.0,0.702884848,Condo,Fairfield,-73.2483157,41.323681
2006,12/01/2006,Darien,391510.0,750000.0,0.522013333,Single Family,Fairfield,-73.4963459,41.0582187
2008,07/22/2009,South Windsor,207450.0,300000.0,0.6915,Single Family,Hartford,-72.5449994,41.8182682
2016,07/07/2017,Stamford,87330.0,165000.0,0.529272727,Condo,Fairfield,-73.5342525,41.0567387
2008,07/13/2009,Newington,187060.0,295000.0,0.634101695,Single Family,Hartford,-72.7445121,41.6663492
2017,04/02/2018,Stratford,219800.0,450000.0,0.488444444,Single Family,Fairfield,-73.1069408,41.2419711
2011,10/07/2011,Madison,387400.0,436350.0,0.887819411,Single Family,New Haven,-72.6277521,41.2799088
2013,08/28/2014,Stratford,220430.0,260000.0,0.847807692,Single Family,Fairfield,-73.1489976,41.2032788
2016,07/07/2017,Farmington,79030.0,127000.0,0.622283465,Condo,Hartford,-72.796974,41.7398602
2017,02/20/2018,Milford,7700.0,12000.0,0.6416,Condo,New Haven,-73.1053314,41.221405
2013,04/07/2014,Bristol,123270.0,150000.0,0.8218,Single Family,Hartford,-72.8875237,41.6524055
2019,07/24/2020,Waterford,145790.0,124950.0,1.1668,Single Family,New London,-72.1188034,41.3766058
